author_display,title,id,author_id
"Byron, George Gordon, Lord","Don Juan [‘Juan and Haidee’, Canto II-IV]",text00038,pers00012
"Hölderlin, Friedrich",The Poet’s Vocation ,text00992,pers00099
"Whitman, Walt",Hours Continuing Long... ,text00762,pers00133
"Coleridge, Samuel Taylor",Kubla Khan ,text00004,pers00004
"Wordsworth, William",Three Years She Grew ,text00010,pers00006
"Tuckerman, Frederick Goddard",Sonnets. Third series. Sonnet X ,text00776,pers00602
"Kerner, Justinus",Home-Sickness ,text01483,pers00564
"Tegnér, Esaias",Frithiof’s Homestead [From Canto III],text01497,pers00377
"Ridge, John Rollin",The Rainy Season in California ,text00789,pers00606
"Goethe, Johann Wolfgang von",[Mignon's Song] ,text00978,pers00096
"Ridge, John Rollin",Mount Shasta ,text00788,pers00606
"Nerval, Gérard de",Golden Verses ,text00950,pers00115
"Odoevsky, Alexander",Response to A. S. Pushkin ,text00944,pers00520
"Campbell, Thomas",Hohenlinden ,text00011,pers00007
"Verlaine, Paul",Pantomime ,text01469,pers00130
"Tuckerman, Frederick Goddard",The Cricket ,text00777,pers00602
"Melville, Herman",The Portent ,text00763,pers00600
"Lamb, Charles",Old Familiar Faces ,text00005,pers00005
"Mickiewicz, Adam",Bakhchisaray by Night ,text01333,pers00110
"Murger, Henri",Spring in the Students' Quarter ,text01455,pers00112
"Bialik, Hayyim Nachman",Night ,text01441,pers00678
"Landon, Letitia Elizabeth",The Indian Bride ,text00039,pers00019
"Lermontov, Mikhail",My Native Land ,text01327,pers00107
"Tighe, Mary",To Death ,text00213,pers00022
"Vigny, Alfred de",Address to Europe on the Death of Lord Byron ,text01119,pers00131
"Wordsworth, William",Westminster Bridge ,text00207,pers00006
"Hugo, Victor",Enthusiasm ,text01131,pers00064
"Hugo, Victor",The Lyre and the Harp. To M. Alph. de L.,text01125,pers00064
"Barbauld, Anna Laetitia",To Mr Coleridge ,text00367,pers00026
"Lenau, Nikolaus",The Oak Grove ,text01079,pers00512
"Tighe, Mary","Psyche [Canto VI., st. 58-60]",text00373,pers00022
"Eichendorff, Joseph Freiherr von",Moonlit Night ,text01045,pers00091
"Droste-Hülshoff, Annette von",The Heath-Man ,text01051,pers00089
"Eminescu, Mihai",The Epigones [extracts],text00429,pers00175
"Dickinson, Emily","[441 ""This is my letter to the World""] ",text00818,pers00523
"Dickinson, Emily","[569 ""I reckon — when I count at all —""] ",text00824,pers00523
"Dickinson, Emily","[657 ""I dwell in Possibility —""] ",text00830,pers00523
"Byron, George Gordon, Lord",We’ll Go No More A-Roving ,text00165,pers00012
"Hugo, Victor",The Djinns ,text00603,pers00064
"Vörösmarty, Mihály",Thoughts in the Library ,text00617,pers00333
Ghalib (Mirza Asadullah Beg Khan),The drop dies in the river ... ,text01509,pers00876
"Shelley, Percy Bysshe",Hellas [Ll. 1060-1101],text00171,pers00014
"Wordsworth, Dorothy",A Cottage in Grasmere Vale ,text00159,pers00033
Ghalib (Mirza Asadullah Beg Khan),Don’t Skimp with Me Today ,text01521,pers00876
"Keats, John",I Had a Dove ,text00175,pers00013
"Rădulescu, Ion Heliade",The Ballad of the Flying Dragon [excerpts],text00613,pers00224
Ghalib (Mirza Asadullah Beg Khan),There are a thousand desires like this ... ,text01519,pers00876
"Verdi, Giuseppe / Solera, Temistocle",Nabucco [‘The Chorus of the Hebrew Slaves’],text00607,"pers00316,pers00749"
"Byron, George Gordon, Lord",The Maid of Athens ,text00161,pers00012
"Wordsworth, William",The Sun Has Long Been Set ,text00149,pers00006
Ghalib (Mirza Asadullah Beg Khan),The Sword Wound ,text01525,pers00876
"Dickinson, Emily","[287 ""A Clock stopped —""] ",text00808,pers00523
"Dickinson, Emily","[744 ""Remorse — is Memory — awake —""] ",text00834,pers00523
"Dickinson, Emily","[465 ""I heard a Fly buzz — when I died —""] ",text00820,pers00523
"Heine, Heinrich",The Gods of Greece ,text01069,pers00098
"Byron, George Gordon, Lord","Childe Harold's Pilgrimage [Canto III., st. 3-6]",text00377,pers00012
"Wordsworth, William","Peter Bell [Prologue, ll. 1-15, 31-80, 101-110, 121-155]",text00363,pers00006
"Droste-Hülshoff, Annette von",In the Grass ,text01055,pers00089
"Eichendorff, Joseph Freiherr von",Evening ,text01041,pers00091
"Musset, Alfred de",The Nights [The night of October (excerpt)],text00439,pers00113
"Hemans, Felicia",To Wordsworth ,text00388,pers00018
"Smith, Charlotte Turner",From the Thirteenth Cantata of Metastasio [Sonnet XVII.],text00203,pers00001
"Bryan, Mary",To My Brother ,text00217,pers00025
"Lamartine, Alphonse de",Enthusiasm ,text01109,pers00104
"Vigny, Alfred de",The Organ ,text01121,pers00131
"Hugo, Victor",Ecstasy ,text01135,pers00064
"Smith, Charlotte Turner",To the South Downs ,text00001,pers00001
"Melville, Herman",To Ned ,text00767,pers00600
"Verlaine, Paul",A La Promenade ,text01479,pers00130
"Brownell, Henry Howard",The Burial of the Dane ,text00773,pers00601
"Moore, Thomas",Oh! Blame Not the Bard ,text00015,pers00011
"Lermontov, Mikhail",The Neighbor ,text01323,pers00107
"Leopardi, Giacomo",To Italy ,text01445,pers00106
"Chénier, André",A white nymph wandering in the woods by night ... ,text01451,pers00083
"Mickiewicz, Adam",The Monument of Peter the Great ,text01337,pers00110
"Blake, William",The Crystal Cabinet ,text00029,pers00009
"Dickinson, Emily","[130 ""These are the days when Birds come back —""] ",text00798,pers00523
"Musset, Alfred de",Sonnet ,text00954,pers00113
"Ibsen, Henrik",In the Orchard ,text01493,pers00756
"Dickinson, Emily","[185 ""'Faith' is a fine invention""] ",text00799,pers00523
"Baggesen, Jens",Childhood ,text01487,pers00147
"Hugo, Victor",At Dawn Tomorrow ... ,text00941,pers00064
"Klopstock, Friedrich Gottlieb",The Spring Festival ,text00969,pers00102
"Hölderlin, Friedrich",In the lovely blue ... ,text00996,pers00099
"Coleridge, Samuel Taylor",Love ,text00028,pers00004
"Schiller, Friedrich",The Walk ,text00982,pers00072
"Brownell, Henry Howard",Night-Quarters ,text00772,pers00601
"Scott, Walter",Lochinvar ,text00014,pers00010
"Melville, Herman",The Maldive Shark ,text00766,pers00600
"Espronceda, José de",To the Sun: A Hymn.,text00558,pers00178
"Hunt, James Leigh",On a Lock of Milton’s Hair ,text00216,pers00021
"Hardenberg, Georg Philipp Friedrich Freiherr von (Novalis)",When No Longer Numbers and Figures ,text00570,pers00116
"Bécquer, Gustavo Adolfo",Rhyme LXVI ,text00564,pers00150
"Smith, Charlotte Turner",Written at the Close of Spring [Sonnet II.],text00202,pers00001
"Lenau, Nikolaus","All around a silencing ... [Forest songs, 9]",text01083,pers00512
"Mörike, Eduard",The Beautiful Beech ,text01097,pers00210
"Wordsworth, William",Extempore Effusion Upon the Death of James Hogg ,text00389,pers00006
"Coleridge, Samuel Taylor",And This Reft House... ,text00362,pers00004
"Hunt, James Leigh",Feast of the Poets [Ll. 204-249],text00376,pers00021
"Dickinson, Emily","[508 ""I'm ceded — I've stopped being Theirs —""] ",text00821,pers00523
"Pushkin, Alexander",Arion ,text01281,pers00120
"Baratynsky, Evgeny",Death ,text01295,pers00075
"Dickinson, Emily","[754 ""My Life had stood — a Loaded Gun —""] ",text00835,pers00523
"Dickinson, Emily","[288 ""I'm Nobody! Who are you?""] ",text00809,pers00523
"Castro, Rosalía de",You will say of these verses ... ,text01242,pers00166
"Batyushkov, Konstantin","You wake, O Baia ... ",text01256,pers00076
"Wordsworth, William",I Have Thoughts that Are Fed by the Sun ,text00148,pers00006
"Taylor, Jane",The Star ,text00160,pers00034
"Keats, John",The Witching Time ,text00174,pers00013
"Byron, George Gordon, Lord",She Walks in Beauty ,text00162,pers00012
"Keats, John","Hush, Hush! Tread Softly ",text00176,pers00013
"Pushkin, Alexander",To Ovid ,text01268,pers00120
"Castro, Rosalía de",Be Silent! ,text01240,pers00166
"Horton, George Moses",On Hearing of the Intention of a Gentleman To Purchase the Poet's Freedom ,text00638,pers00588
"Batyushkov, Konstantin",Awakening ,text01254,pers00076
"Pushkin, Alexander",To the Poet ,text01283,pers00120
"Dickinson, Emily","[528 ""Mine — by the Right of the White Election!""] ",text00823,pers00523
"Dickinson, Emily","[822 ""This Consciousness that is aware""] ",text00837,pers00523
"Baratynsky, Evgeny",I didn’t love her ... ,text01297,pers00075
"Smith, Charlotte Turner",Should the Lone Wanderer [Sonnet XXXVI.],text00189,pers00001
"Coleridge, Samuel Taylor",Pensive at Eve... ,text00360,pers00004
"Coleridge, Samuel Taylor",To William Wordsworth ,text00374,pers00004
"Hemans, Felicia",The Dreaming Child ,text00348,pers00018
"Lenau, Nikolaus",Loneliness ,text01081,pers00512
"Mörike, Eduard",To an Aeolian Harp ,text01095,pers00210
"Eichendorff, Joseph Freiherr von",Divining Rod ,text00572,pers00091
"Hunt, James Leigh","Written During the Author’s Imprisonment, November 1814 ",text00214,pers00021
"Seward, Anna",By Derwent’s Rapid Stream ,text00200,pers00037
"Mácha, Karel Hynek",May ,text00566,pers00373
"Shelley, Percy Bysshe",Lift Not the Painted Veil ,text00228,pers00014
"Byron, George Gordon, Lord","Don Juan [Canto II, st. 188-198 (ll. 1497 – 1584).]",text00599,pers00012
"Byron, George Gordon, Lord","Childe Harold's Pilgrimage [Canto III, st. 16 – 18, 21 – 28: ‘Revelry by Night’]",text00016,pers00012
"Melville, Herman",Art ,text00770,pers00600
"Melville, Herman",A Utilitarian View of the Monitor's Fight ,text00764,pers00600
"Burns, Robert","To a Mountain Daisy, on Turning One Down with the Plough, April 1786",text00002,pers00002
"Hölderlin, Friedrich",Ganymede ,text00994,pers00099
"Whitman, Walt",The Last Invocation ,text00758,pers00133
"Schiller, Friedrich",The Gods of Greece ,text00980,pers00072
"Wergeland, Henrik",The Wall-Flower ,text01491,pers00336
"Müller, Wilhelm",Whither? ,text01485,pers00567
"Landon, Letitia Elizabeth",The Unknown Grave ,text00942,pers00019
"Gautier, Théophile",The Last Leaf ,text00956,pers00062
"Bécquer, Gustavo Adolfo",Rima LXXIII: They closed her eyes ... ,text01447,pers00150
"Whitman, Walt",A Clear Midnight ,text00759,pers00133
"Lermontov, Mikhail",I Am No Byron ,text01321,pers00107
"Mickiewicz, Adam",To *** In the Alps at Splügen.,text01335,pers00110
"Chénier, André","Well, I would have it so ... ",text01453,pers00083
"Melville, Herman",Malvern Hill ,text00765,pers00600
"Robinson, Mary",A London Summer Morning ,text00003,pers00003
"Keats, John",To Autumn ,text00017,pers00013
"Tyutchev, Fyodor",Dusk ,text01309,pers00238
"Melville, Herman",Fragments of a Lost Gnostic Poem of the 12th Century ,text00771,pers00600
"Tegnér, Esaias",Song to the Sun ,text00598,pers00377
"Hugo, Victor",Buonaparte De Deo.,text01123,pers00064
"Hugo, Victor","Setting Suns, II.",text01137,pers00064
"Clare, John",Give Me the Gloomy Walk ,text00229,pers00016
"Tighe, Mary",Written at Scarborough ,text00201,pers00022
"Hunt, James Leigh","Written in the Spring that Succeeded Imprisonment, May 1815 ",text00215,pers00021
"Norton, Caroline Elizabeth Sarah",Recollections ,text00349,pers00020
"Heine, Heinrich",The Grenadiers ,text01057,pers00098
"Eichendorff, Joseph Freiherr von",Longing ,text01043,pers00091
"Byron, George Gordon, Lord","English Bards and Scotch Reviewers [Ll. 1 – 38, 85 – 148]",text00375,pers00012
"Coleridge, Samuel Taylor",Oh I Do Love Thee... ,text00361,pers00004
"Dickinson, Emily","[799 ""Despair's advantage is achieved""] ",text00836,pers00523
"Smith, Charlotte Turner",The Partial Muse [Sonnet I.],text00188,pers00001
"Dickinson, Emily","[510 ""It was not Death, for I stood up""] ",text00822,pers00523
"Emerson, Ralph Waldo",Each and All ,text00639,pers00092
"Nguyễn, Du",The Tale of Kiều ,text01527,pers00885
"Mickiewicz, Adam","The Crimean Sonnets. [sonnets 6, 10, 13]",text00611,pers00110
"Keats, John",This Living Hand ,text00177,pers00013
"Byron, George Gordon, Lord",Stanzas for Music [‘There be none of Beauty’s daughters’],text00163,pers00012
"Heine, Heinrich",Jehuda ben Halevy (Fragment) [I],text00605,pers00098
"Robinson, Mary",A Thousand Torments ,text00138,pers00003
"Zorrilla y Moral, José",To the Unhappy Memory of the Young Author Don Mariano José de Larra ,text01226,pers00328
"Desbordes-Valmore, Marceline",A Woman's Letter ,text00892,pers00513
"Coronado, Carolina",Freedom ,text01232,pers00084
